"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Lars Onsager","1903-11-27","1976-10-05","Norway","Kristiania (now Oslo)",10.7522454,59.9138688,"USA","Coral Gables, FL",-80.2683838,25.72149,"male",1968,"chemistry","""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""","Yale University","New Haven, CT","USA"
"Odd Hassel","1897-05-17","1981-05-11","Norway","Kristiania (now Oslo)",10.7522454,59.9138688,"Norway","Oslo",10.7522454,59.9138688,"male",1969,"chemistry","""for their contributions to the development of the concept of conformation and its application in chemistry""","University of Oslo","Oslo","Norway"
"Konrad Bloch","1912-01-21","2000-10-15","Germany (now Poland)","Neisse (now Nysa)",17.3295861,50.4822855,"USA","Burlington, MA",-71.1956205,42.5047161,"male",1964,"medicine","""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""","Harvard University","Cambridge, MA","USA"
"Selman Abraham Waksman","1888-07-22","1973-08-16","Russian Empire (now Ukraine)","Priluka (now Nova Pryluka)",28.6989477,49.3734042,"USA","Hyannis, MA",-70.2881124,41.6524911,"male",1952,"medicine","""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""","Rutgers University","New Brunswick, NJ","USA"
"Gunter Blobel","1936-05-21","2018-02-18","Germany (now Poland)","Waltersdorf (now Niegoslawice)",20.5994117,50.3903249,"USA","New York, NY",-74.0059728,40.7127753,"male",1999,"medicine","""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""","Rockefeller University","New York, NY","USA"
"Fritz Pregl","1869-09-03","1930-12-13","Austria-Hungary (now Slovenia)","Laibach (now Ljubljana)",14.5057515,46.0569465,"Austria","Graz",15.439504,47.070714,"male",1923,"chemistry","""for his invention of the method of micro-analysis of organic substances""","Graz University","Graz","Austria"
"Emil Adolf von Behring","1854-03-15","1917-03-31","Prussia (now Poland)","Hansdorf (now Lawice)",18.6713802,50.2944923,"Germany","Marburg",8.7667933,50.8021728,"male",1901,"medicine","""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""","Marburg University","Marburg","Germany"
"Ilya Ilyich Mechnikov","1845-05-15","1916-07-15","Russian Empire (now Ukraine)","Kharkov (now Kharkiv)",36.230383,49.9935,"France","Paris",2.3522219,48.856614,"male",1908,"medicine","""in recognition of their work on immunity""","Institut Pasteur","Paris","France"
"Maria Goeppert Mayer","1906-06-28","1972-02-20","Germany (now Poland)","Kattowitz (now Katowice)",19.0237815,50.2648919,"USA","San Diego, CA",-117.1610838,32.715738,"female",1963,"physics","""for their discoveries concerning nuclear shell structure""","University of California","San Diego, CA","USA"
"Otto Wallach","1847-03-27","1931-02-26","Germany (now Russia)","Koenigsberg (now Kaliningrad)",20.4522144,54.7104264,"Germany","Gottingen",9.9158035,51.5412804,"male",1910,"chemistry","""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""","Goettingen University","Gottingen","Germany"
